file_path,side_effect_kind,line_number,snippet,transitive_importer_in_appRouter,severity,notes
packages/orchestrator/src/personas/loader.ts,fs-path-resolution,155,"const overridePath = path.join(getOrbitalHome(), 'config', 'personas')",trpc/routers/index.ts (via vision.ts → DefaultPersonaLoader),RISK,"getOrbitalHome() called inside methods, not at module top-level"
packages/orchestrator/src/uat/persona-of-record.ts,child_process-import,40,"import { execFileSync } from 'node:child_process'",trpc/routers/index.ts → uatRouter() → createPersonaOfRecord,RISK,"execFileSync imported at module top-level; no call at module eval time"
packages/orchestrator/src/recovery/io.ts,child_process-import,11-15,"import { spawnSync, spawn } from 'node:child_process'",trpc/routers/admin.ts → runBackupExport → recovery/backup.ts → recovery/io.ts,RISK,"child_process imported module-top-level; no calls at import time"
packages/orchestrator/src/orchestration/worker-output-stream.ts,module-level-map + env-read,304+343,"const STREAM_REGISTRY = new Map(); process.env.HOME ?? process.env.USERPROFILE ?? os.tmpdir()",none (not in appRouter import graph directly),RISK,"process.env read inline; called inside getOutputDir() which is a function"
packages/orchestrator/src/retros/proposals.ts,child_process-transitive,n/a,transitive via agent-org.ts,trpc/routers/index.ts → retrosRouter() → createProposalService → proposals.ts,RISK,"depends on AgentOrgRepo which imports child_process at module top-level"
packages/orchestrator/src/orchestration/spawn.ts,child_process-import,42,"import { spawn as childSpawn, spawnSync, ... } from 'node:child_process'",none (not in appRouter),INFO,"child_process imported but no spawn at import time"
packages/orchestrator/src/github/webhook.ts,module-level-object-construction,107,"const defaultDeliveryCache = new DeliveryCache()",none (not in appRouter direct chain),INFO,"DeliveryCache construction at module top-level; benign"
packages/orchestrator/src/lambda/handlers/install-authorizer.ts,module-level-object-construction,61,"const nonceLru = new NonceLru({ capacity: 10_000, ttlMs: 5 * 60 * 1000 })",none (separate Lambda handler),INFO,"NonceLru instantiated at module top-level; benign for Lambda"
packages/orchestrator/src/lambda/ws-auth/cognito.ts,module-level-map,125,"const jwksCache = new Map<string, JwksCacheEntry>()",none (WS Lambda handler),INFO,"Empty Map at module top-level; benign"
packages/orchestrator/src/drivers/registry.ts,module-level-map,15,"const _registry = new Map<string, LLMDriver>()",trpc/routers/index.ts → providers.ts → drivers/registry.ts,INFO,"Empty Map construction; safe"
packages/orchestrator/src/vision/lifecycle.ts,module-level-map,184,"const _tokenStore = new Map<string, TokenEntry>()",trpc/routers/index.ts → vision.ts,INFO,"Empty Map; safe"
packages/orchestrator/src/audit-export/rest.ts,sync-fs-import,21,"import { createReadStream, statSync } from 'node:fs'",none (Fastify HTTP route, not in appRouter),INFO,"statSync imported but only used inside HTTP handlers"
packages/orchestrator/src/mcp/server.ts,fs-import,25,"import fs from 'node:fs'",none (MCP gateway, not in appRouter),INFO,"fs imported for socket file operations; no module-level I/O"
